"","logFC","logCPM","PValue","FDR"
"YGR027W-B",2.24833940350691,8.41844115119471,2.50178317156028e-21,2.24288651910942e-19
"YHL048W",-1.51578485906264,5.98992248277824,3.01805670517529e-21,2.66534948127197e-19
"YHL050C",-1.84082170667391,7.13966685733731,4.2650837861905e-21,3.71125011218959e-19
"YPR124W",1.10435978353395,8.36501604052831,4.60982018733399e-21,3.95308783310945e-19
"YMR173W",1.19468297697217,8.81027309078369,5.77230774546665e-21,4.87924927570374e-19
"YDR261C-D",3.23127072917656,4.94776146624846,1.27987094290068e-20,1.06661920692159e-18
"YIL117C",-1.22427341651912,7.41595038754876,1.43963392726851e-20,1.18309915939553e-18
"YLR348C",-1.08508353675573,8.05551279116997,1.99074934157092e-20,1.61359778822947e-18
"YBL005W-A",-8.23043111641821,3.96541566235227,2.27364770227621e-20,1.81799641275248e-18
"YLR258W",1.78357980141847,8.65030119979039,2.55746759972822e-20,2.01767143834558e-18
"YOR348C",-2.35429951773429,5.00414586049235,4.02659098810869e-20,3.13491301008409e-18
"YGR035C",3.22889573039358,5.07040613566839,9.33347790439306e-20,7.17223230653165e-18
"YMR120C",2.76912473623862,8.05442344503757,1.42562833586276e-19,1.08146703375641e-17
"YER072W",1.09420744170568,8.14239200529841,1.80257244101261e-19,1.35010394094578e-17
"YBR244W",2.32020029264512,4.97110932233038,2.32528469977034e-19,1.71983869606764e-17
"YNL217W",1.28119257489236,7.20941481134079,3.01777619830317e-19,2.20446688461233e-17
"YBR296C",3.20818825484335,6.37363482570543,1.10956787213146e-18,8.00647938951446e-17
"YLR300W",0.948019156117105,8.99717972064467,1.33449944208838e-18,9.51353397450233e-17
"YDR525W-A",-1.8348317215124,5.37084944007596,1.61792074185246e-18,1.13967107494536e-16
"YPL163C",1.39912654201168,7.17368293316407,2.20861746347525e-18,1.53745759192742e-16
"YKR080W",2.59749832925004,7.44691403702191,2.24417235439912e-18,1.54404276988135e-16
"YKL109W",1.69352995340458,7.40538920583835,4.94423886765741e-18,3.36265073332516e-16
"YDR281C",4.54325306611474,3.0183195909705,6.7293451999324e-18,4.52471994863636e-16
"YDR452W",-0.967614378080745,8.09769813688223,6.97452129123559e-18,4.63688117755517e-16
"YOR227W",-1.08533918290532,7.51600524424221,8.2232056670672e-18,5.4063008813374e-16
"YHR216W",0.96287986535925,8.13302706146243,1.11648599158406e-17,7.25961276066253e-16
"YMR006C",1.46279078066035,7.09424830873243,1.48394455818852e-17,9.54402168565379e-16
"YLR058C",2.18269760437541,8.78323154200942,2.15155394458551e-17,1.36889727850672e-15
"YDR011W",1.03072095790812,7.71678362199715,2.82974019198061e-17,1.7812311399946e-15
"YCL025C",1.9095783458842,7.63321005122418,3.66758069733546e-17,2.28432368275094e-15
"YBL005W-B",2.00802764666071,7.45661456416679,6.51954765060618e-17,4.01835035923299e-15
